model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN9_A0_ROW_ONLY,104729,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,130363,5248,5248,0,0,0,0,0,5248
GEN9_A0_ROW_ONLY,155921,5248,5248,0,0,0,0,0,5248
GEN9_A1_ROW_ADJACENT,104729,5248,5248,0,0,0,0,0,5248
GEN9_A1_ROW_ADJACENT,130363,5248,5248,0,0,0,0,0,5248
GEN9_A1_ROW_ADJACENT,155921,5248,5248,0,0,0,0,0,5248
GEN9_A2_ROW_ENDPOINT,104729,5248,5248,0,0,0,0,0,5248
GEN9_A2_ROW_ENDPOINT,130363,5248,5248,0,0,0,0,0,5248
GEN9_A2_ROW_ENDPOINT,155921,5248,5248,0,0,0,0,0,5248
GEN9_A3_ROW_RANDOM_PAIR,104729,5248,5248,0,0,0,0,0,5248
GEN9_A3_ROW_RANDOM_PAIR,130363,5248,5248,0,0,0,0,0,5248
GEN9_A3_ROW_RANDOM_PAIR,155921,5248,5248,0,0,0,0,0,5248
GEN9_A4_ROW_MULTISCALE,104729,5248,5248,0,0,0,0,0,5248
GEN9_A4_ROW_MULTISCALE,130363,5248,5248,0,0,0,0,0,5248
GEN9_A4_ROW_MULTISCALE,155921,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,104729,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,130363,5248,5248,0,0,0,0,0,5248
REC_ecfp_plus_recovered,155921,5248,5248,0,0,0,0,0,5248
