metal_symbol,records,canonical,with_target,model_ready,extractant_systems,solvents,rows_with_ionic_radius,log_D_min,log_D_max,log_D_mean,log_D_std,category,is_lanthanide,atomic_number,ionic_radius_coverage,ionic_radius_status
Eu,2376,1943,2341,1556,201,63,2160,-4.761953896871205,3.584579976985039,-0.26556740135050283,1.9236334950599765,lanthanide,True,63.0,partial,ok|unknown_oxidation_state
Am,2104,2065,2075,1841,130,40,1775,-4.0,4.2106235560608365,-0.013842241668825726,1.7701899010456763,actinide,False,95.0,partial,ok|requires_curation|unknown_oxidation_state
,1918,1918,0,0,9,6,0,,,,,,,,none,
U,1609,1280,1607,995,54,18,1562,-3.0841708542713566,3.1641791032388493,0.01216596241379062,0.879953564524638,actinide,False,92.0,partial,ok|unknown_oxidation_state
Pu,1019,937,1013,709,55,11,766,-3.8112397727531953,3.8920946026904804,-0.15209837985967348,1.3298408474671117,actinide,False,94.0,partial,ok|requires_curation|unknown_oxidation_state
Th,839,802,839,761,46,19,810,-4.0,4.485436893203882,-0.13278894734045668,1.2674699755715484,actinide,False,90.0,partial,ok|unknown_oxidation_state
Nd,796,711,770,581,88,32,543,-4.684029654543083,3.9293811149017266,0.04163587864878433,1.7728672428920582,lanthanide,True,60.0,partial,ok|unknown_oxidation_state
La,538,453,521,388,89,33,452,-4.488116639021126,2.858699577,-0.8423491472423295,1.8565792565748183,lanthanide,True,57.0,partial,ok|unknown_oxidation_state
Gd,504,429,487,368,78,27,467,-4.97469413473523,3.52777777777777,-0.05142182484942655,1.9543579265065967,lanthanide,True,64.0,partial,ok|unknown_oxidation_state
Dy,498,423,498,367,77,27,452,-4.1432711096171175,3.94444444444444,0.28136691353809284,1.808909585528212,lanthanide,True,66.0,partial,ok|unknown_oxidation_state
Np,496,470,496,432,23,13,223,-4.05559619604975,2.7133878914989853,-0.7083752419392363,1.1887771661233406,actinide,False,93.0,partial,ok|requires_curation
Pr,481,396,454,330,81,36,460,-12.46716855883153,2.785756799962643,-0.8899351904926358,2.149465290258193,lanthanide,True,59.0,partial,ok|unknown_oxidation_state
Sm,472,387,448,325,81,26,432,-4.991399828238082,3.94444444444444,-0.15412750055753735,1.985009975962509,lanthanide,True,62.0,partial,ok|unknown_oxidation_state
Ce,416,336,400,280,72,29,395,-4.464705879957229,3.069668097,-0.7871268546235194,1.9402796141815524,lanthanide,True,58.0,partial,ok|unknown_oxidation_state
Er,402,325,402,306,75,26,377,-3.6989700043360187,4.14619164619164,0.20152263149432192,1.8445085276238151,lanthanide,True,68.0,partial,ok|unknown_oxidation_state
Ho,360,285,360,265,59,24,339,-3.8728952016351923,4.06756756756756,0.1406312161416614,1.9778234644750616,lanthanide,True,67.0,partial,ok|unknown_oxidation_state
Tb,348,273,348,247,67,24,344,-4.186419011431808,4.0732600732600694,-0.22367482460098823,1.9848916774754235,lanthanide,True,65.0,partial,ok|unknown_oxidation_state
Lu,334,259,334,241,62,23,322,-3.6595558851598815,4.19533169533169,0.02428895742730565,1.9150287296417403,lanthanide,True,71.0,partial,ok|unknown_oxidation_state
Yb,320,245,320,227,61,25,306,-3.653647025549361,4.21498771498771,-0.011685196277809376,1.9263427316447597,lanthanide,True,70.0,partial,ok|unknown_oxidation_state
Sr,219,219,218,180,5,3,94,-3.6989700043360187,3.3351351390996777,-0.5654118733581435,1.2136752567535136,alkaline_earth,False,38.0,partial,ok|requires_curation|unknown_oxidation_state
Tm,207,205,207,192,55,21,203,-3.5228787452803374,4.15601965601965,0.8214992909847054,1.5570247021457715,lanthanide,True,69.0,partial,ok|unknown_oxidation_state
Cm,160,160,144,136,13,7,0,-3.3979400086720375,3.8260748027008264,0.23327251699159868,1.6122263375454235,actinide,False,96.0,none,requires_curation|unknown_oxidation_state
Pa,52,43,52,15,1,2,52,-2.2518119729937998,0.9425179868367473,-0.320512740024565,0.80985359701792,actinide,False,91.0,all,ok
