context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,2d_ensemble_weight,delta3d_weight,simplicial_weight,inner_group_balanced_r2,raw_selected,selected_after_gate
outer_0:baseline,0.0,3.0,130363.0,0.35,2.0,0.13731818799541556,-0.029524167198169193,0.13002627388537624,True,,,,,,
outer_0:baseline,1.0,3.0,130363.0,0.7,2.0,0.14571569466913353,-0.17125189488471704,0.1407784693041579,False,,,,,,
outer_0:baseline,2.0,3.0,130363.0,1.0,4.0,0.1472739438174825,-0.2726594251923278,0.1481466485604316,False,,,,,,
outer_0:2d_second_unshrunk,0.0,3.0,130363.0,0.35,2.0,0.13767160304138398,-0.028400181063249486,0.13018499042290424,True,,,,,,
outer_0:2d_second_unshrunk,1.0,3.0,130363.0,0.7,2.0,0.14648431570754927,-0.1917576248966406,0.14206193932585914,False,,,,,,
outer_0:2d_second_unshrunk,2.0,3.0,130363.0,1.0,4.0,0.14675205569072708,-0.26127218736405555,0.14714265836800014,False,,,,,,
outer_0:delta3d_unshrunk,0.0,3.0,130363.0,0.35,2.0,0.1374496805739613,0.05374930997297911,0.12739612087458302,True,,,,,,
outer_0:delta3d_unshrunk,1.0,3.0,130363.0,0.7,2.0,0.14334085466034882,-0.043104096555371285,0.13599582585589756,False,,,,,,
outer_0:delta3d_unshrunk,2.0,3.0,130363.0,1.0,4.0,0.14632031875743967,-0.12178129176832764,0.14243446512643224,False,,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13731818799541556,-0.029524167198169193,0.13002627388537624,True,0.0,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13735731162236953,-0.02839154085211848,0.13002373072645976,False,0.25,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13742312840167897,-0.02782666771428155,0.13003925437677996,False,0.5,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1375154819441455,-0.027829547784658626,0.13008039748313296,False,0.75,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13767160304138398,-0.028400181063249486,0.13018499042290424,False,1.0,,,,,
outer_0:delta3d_weight,,,,,,0.13731818799541556,-0.029524167198169193,0.13002627388537624,False,,0.0,,,,
outer_0:delta3d_weight,,,,,,0.1359973807984526,0.004307637304934331,0.12794917941364692,False,,0.25,,,,
outer_0:delta3d_weight,,,,,,0.13552861213177544,0.02946381833449352,0.1268327260780114,True,,0.5,,,,
outer_0:delta3d_weight,,,,,,0.13621863453608513,0.04594437589050848,0.12679178305527686,False,,0.75,,,,
outer_0:delta3d_weight,,,,,,0.1374496805739613,0.05374930997297911,0.12739612087458302,False,,1.0,,,,
outer_0:simplicial_weight,,,,,,0.13552861213177544,0.02946381833449352,,,,,0.0,0.036541469239837254,True,True
outer_0:simplicial_weight,,,,,,0.13700402086694052,0.0395918723821157,,,,,0.25,0.04046481770576538,False,False
outer_0:simplicial_weight,,,,,,0.14412019517995092,-0.02829858062770252,,,,,0.5,-0.021261211044700135,False,False
outer_0:simplicial_weight,,,,,,0.1562058751697643,-0.17420754069496147,,,,,0.75,-0.14863661701155984,False,False
outer_0:simplicial_weight,,,,,,0.1703898417774829,-0.3981350078196617,,,,,1.0,-0.3416614001948133,False,False
outer_1:baseline,0.0,3.0,140370.0,0.35,2.0,0.13831222569502333,-0.0007221889685846694,0.12415369952904057,True,,,,,,
outer_1:baseline,1.0,3.0,140370.0,0.7,2.0,0.14603047184795348,-0.10986628054986847,0.13139714544058936,False,,,,,,
outer_1:baseline,2.0,3.0,140370.0,1.0,4.0,0.1475917549080173,-0.21442230309256427,0.14041849424236555,False,,,,,,
outer_1:2d_second_unshrunk,0.0,3.0,140370.0,0.35,2.0,0.13801590243460668,-0.018570906261524245,0.12499834258377852,True,,,,,,
outer_1:2d_second_unshrunk,1.0,3.0,140370.0,0.7,2.0,0.14576413173338473,-0.11709416789570426,0.13150791815046525,False,,,,,,
outer_1:2d_second_unshrunk,2.0,3.0,140370.0,1.0,4.0,0.14885305172696459,-0.21621616438123148,0.14050723987626496,False,,,,,,
outer_1:delta3d_unshrunk,0.0,3.0,140370.0,0.35,2.0,0.13958395187485392,0.04150797954883145,0.1201043099633516,True,,,,,,
outer_1:delta3d_unshrunk,1.0,3.0,140370.0,0.7,2.0,0.14676206441321696,-0.016866209315377523,0.12458782897445918,False,,,,,,
outer_1:delta3d_unshrunk,2.0,3.0,140370.0,1.0,4.0,0.14740679253955197,-0.024806659934641706,0.12527458822297202,False,,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13831222569502333,-0.0007221889685846694,0.12415369952904057,False,0.0,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13818287008137686,-0.004618641086035824,0.12430563197560011,False,0.25,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13810545287518203,-0.008892244674009397,0.1245103716319911,False,0.5,,,,,
outer_1:2d_ensemble_weight,,,,,,0.1380434071174536,-0.013542999732505834,0.1247400023820312,False,0.75,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13801590243460668,-0.018570906261524245,0.12499834258377852,True,1.0,,,,,
outer_1:delta3d_weight,,,,,,0.13831222569502333,-0.0007221889685846694,0.12415369952904057,False,,0.0,,,,
outer_1:delta3d_weight,,,,,,0.13743562509525442,0.023408769506014115,0.12215398787665187,True,,0.25,,,,
outer_1:delta3d_weight,,,,,,0.13756656927402836,0.0384907837504499,0.12071219501490325,False,,0.5,,,,
outer_1:delta3d_weight,,,,,,0.13818349459744317,0.04452385376472234,0.11999168145669402,False,,0.75,,,,
outer_1:delta3d_weight,,,,,,0.13958395187485392,0.04150797954883145,0.1201043099633516,False,,1.0,,,,
outer_1:simplicial_weight,,,,,,0.13743562509525442,0.023408769506014115,,,,,0.0,0.059211235182446864,False,False
outer_1:simplicial_weight,,,,,,0.13473106217463673,0.1076499706844829,,,,,0.25,0.0906997310376354,True,True
outer_1:simplicial_weight,,,,,,0.13569374661365616,0.11849815580521905,,,,,0.5,0.0864373894905398,False,False
outer_1:simplicial_weight,,,,,,0.14101557257804723,0.05595332486822269,,,,,0.75,0.04642421054116053,False,False
outer_1:simplicial_weight,,,,,,0.15000031664496755,-0.07998452212650631,,,,,1.0,-0.029339805810502995,False,False
outer_2:baseline,0.0,3.0,150377.0,0.35,2.0,0.13012035294597382,0.07353702035432419,0.12029336785499245,True,,,,,,
outer_2:baseline,1.0,3.0,150377.0,0.7,2.0,0.1382121476393219,0.017672781896731826,0.12299501190407841,False,,,,,,
outer_2:baseline,2.0,3.0,150377.0,1.0,4.0,0.13978148849625674,0.05524791231083803,0.12219037915335,False,,,,,,
outer_2:2d_second_unshrunk,0.0,3.0,150377.0,0.35,2.0,0.130722703914003,0.08951154143552242,0.1202377945785678,True,,,,,,
outer_2:2d_second_unshrunk,1.0,3.0,150377.0,0.7,2.0,0.13836207605082984,0.029318850196708546,0.12230597770953493,False,,,,,,
